単位：千円,,,,,,,,,,,,,
資金繰り表（第8期）,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,合計,月平均
今期売上,,,,,,,,,,,,,,
前期売上,,,,,,,,,,,,,,
前月繰越金（A）,67557,,,,,,,,,,,,,
収入_現金売上,,,,,,,,,,,,,,
収入_売掛金回収,,,,,,,,,,,,,,
収入_その他,,,,,,,,,,,,,,
経常収入計（B）,,,,,,,,,,,,,,
支出_現金仕入,,,,,,,,,,,,,,
支出_買掛金支払,,,,,,,,,,,,,,
支出_人件費,,,,,,,,,,,,,,
支出_その他,,,,,,,,,,,,,,
支出_商品棚卸高,,,,,,,,,,,,,,
支出_諸経費,,,,,,,,,,,,,,
経常支出計（C）,,,,,,,,,,,,,,
差引過不足（D）=（B）-（C）,,,,,,,,,,,,,,
経常外収入,,,,,,,,,,,,,,
経常外支出,,,,,,,,,,,,,,
経常外収支計（E）,,,,,,,,,,,,,,
財務収入_日本政策金融公庫,,,,,,,,,,,,,,
財務収入_西武信用金庫,,,,,,,,,,,,,,
財務収入_その他,,,,,,,,,,,,,,
財務支出_借入金返済（短期）,,,,,,,,,,,,,,
財務支出_借入金返済（長期）,,,,,,,,,,,,,,
財務収支計（F）,,,,,,,,,,,,,,
翌月繰越金（G）=（A）+（D）+（E）+（F）,,,,,,,,,,,,,,
